"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"Poblacion",11,0.0384201159058648,0.00349273780962407,0.0551939671534335,7.74662869467834,15.8977230973176,9.99900009999166e-05
"Sexo",1,0.00899634184793285,0.00899634184793285,0.0129240577428885,19.9532068265477,7.14035559498576,9.99900009999166e-05
"Poblacion:Sexo",11,0.0111081023787847,0.00100982748898043,0.0159577925098875,2.23972110968522,5.81944873555759,9.99900009999166e-05
"Residuals",1414,0.637532978210402,0.000450871978932392,0.915873714300902,NA,NA,NA
"Total",1437,0.696092668951678,NA,NA,NA,NA,NA
